InputSize,TimeSeconds
7559,0.000143979
15119,0.000542472
22678,0.00118134
30238,0.00172507
37797,0.00262355
45357,0.00379953
52916,0.00527216
60476,0.00722928
68035,0.00921425
75595,0.0118216
